question,option_a,option_b,option_c,option_d,correct
Which of these is NOT one of the four parts in traditional hymn singing?,Soprano,Alto,Tenor,Baritone,D
Which book of the Bible contains most of the Psalms?,Proverbs,Psalms,Ecclesiastes,Song of Solomon,B
What is the term for a song of praise to God?,Hymn,Anthem,Spiritual,Carol,A
What does 'a cappella' mean in music?,Without accompaniment,With expression,Very slowly,With piano,A
The melody of a hymn is typically sung by which vocal part?,Soprano,Alto,Tenor,Bass,A
Which of these is NOT one of the three main Christian hymn types?,Psalms,Spiritual songs,Hymns,Canticles,D
Which musical notation indicates a sustained note?,Staccato,Legato,Fermata,Accent,C
What is the term for the book containing hymn lyrics used in church?,Hymnary,Breviary,Hymnal,Lectionary,C
Who is known as the 'Father of Church Music'?,J.S. Bach,Martin Luther,John Calvin,Gregory the Great,D
What is the main difference between a hymn and a worship song?,Age,Instrumentation,Structure,Theme,C
What does 'Mezzo Piano' (abbreviated as mp) mean in music?,Soft,Moderately soft,Loud,Quick,B
Who is the founder of this event?,Akaninyene Asanga,John Ajokpaohwo,Samuel Effiong,None of the above,B
The term 'A cappella' originates from which language?,English,Spanish,Greek,Italian,D
What is the term for a group of musical notes played together?,Melody,Chord,Riff,Cadence,B
What is a group of five singers called?,Quintet,Quartet,Solo,Duet,A
The treble clef is also known as the?,F Clef,G Clef,C Clef,None of the above,B
According to Songs of the Church; what is the 8th commandment in the Hymn Book?,Thou shalt not use me as a fan,Thou shalt not bend my backs together,Thou shalt not use me to hit the babies,None of the above,A
Who wrote the famous hymn 'Amazing Grace'?,Richard White,David Smith,Clinton John,John Newton,D
Which hymn in Songs of the Church ends every stanza and chorus with the word 'Calvary'?,On the Cross to Calvary,Lead Me to Calvary,Years I Spent in Vanity,Hero of Calvary,C
Who wrote the song 'Jesus Nnyin Itoro Fi'?,Ekpe Andrew Ufot,Effiong Anderson Uwem,Edet Anietie Uwah,Ekong Aniefiok Unwana,A
